                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79073,                0.92323,                      0,                0.49432,                0.99627,                0.99829,                      1,                  0.995,                0.87784,                0.70044,                0.70175,                0.56049,                0.24751,                0.60726,                 3.7973,                      0,                0.35136,                0.94353,              0.0013268,              0.0013268,              0.0013268
                     37,                0.77721,                 0.8655,                      0,                0.46761,                0.98676,                0.99846,                      1,                  0.995,                0.83778,                0.64515,                0.64912,                0.45078,                0.19347,                0.67199,                 3.7849,                      0,                0.39458,                 1.0505,               0.001307,               0.001307,               0.001307
                     38,                0.78579,                0.82015,                      0,                 0.4864,                0.98991,                0.99784,                      1,                  0.995,                0.85696,                0.73331,                0.73684,                0.62039,                 0.3196,                0.64261,                 3.5264,                      0,                0.36901,                0.97943,              0.0012872,              0.0012872,              0.0012872
                     39,                0.81802,                0.83889,                      0,                0.49755,                 1.0145,                0.99697,                      1,                  0.995,                0.86219,                0.94433,                0.94737,                0.90602,                0.43017,                0.57615,                 2.9053,                      0,                0.36041,                0.95446,              0.0012674,              0.0012674,              0.0012674
                     40,                0.76763,                0.76362,                      0,                0.47596,                 0.9958,                0.99679,                      1,                  0.995,                0.86191,                0.71494,                 0.7193,                0.54087,                0.24225,                0.63744,                 3.7776,                      0,                0.40461,                0.94751,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.7691,                0.76011,                      0,                0.46151,                 0.9966,                0.99343,                      1,                  0.995,                0.80355,                0.99343,                      1,                  0.995,                0.44927,                0.70625,                 3.3459,                      0,                0.70321,                0.96056,              0.0012278,              0.0012278,              0.0012278
                     42,                0.77302,                0.72831,                      0,                0.48784,                0.99831,                0.98271,                      1,                  0.995,                0.81762,                0.48384,                0.49123,                0.28386,                0.14816,                0.76533,                 3.9225,                      0,                0.39223,                 1.1197,               0.001208,               0.001208,               0.001208
                     43,                0.75604,                 0.6816,                      0,                0.47016,                0.99611,                0.99865,                      1,                  0.995,                0.85692,                0.82344,                0.82456,                0.70986,                0.36322,                0.66305,                 3.0599,                      0,                0.35954,                0.96125,              0.0011882,              0.0011882,              0.0011882
                     44,                0.75577,                0.68205,                      0,                0.47274,                0.98375,                0.99271,                      1,                  0.995,                0.84832,                0.90547,                0.91228,                0.85867,                0.44318,                 0.6899,                 2.7936,                      0,                0.36592,                0.92406,              0.0011684,              0.0011684,              0.0011684
                     45,                0.73295,                 0.6104,                      0,                 0.4661,                0.98065,                0.99893,                      1,                  0.995,                0.86259,                0.40308,                0.40351,                0.25955,                0.20689,                0.62293,                 3.7266,                      0,                0.34437,                0.93835,              0.0011486,              0.0011486,              0.0011486
