                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81982,                 1.1527,                      0,                0.51737,                 1.0144,                0.99571,                  0.983,                0.99352,                0.76395,                0.48225,                0.47458,                0.34069,                0.16923,                 0.8586,                 4.2193,                      0,                0.47421,                 1.0766,              0.0013466,              0.0013466,              0.0013466
                     36,                  0.808,                 1.2171,                      0,                0.51786,                0.99051,                0.98991,                      1,                0.99339,                0.73433,                 0.4611,                 0.4661,                0.25668,                0.19679,                0.86003,                 3.7116,                      0,                0.47834,                 1.0643,              0.0013268,              0.0013268,              0.0013268
                     37,                0.76728,                 1.1984,                      0,                0.50768,                 1.0004,                0.99336,                      1,                0.99496,                0.78985,                0.46294,                 0.4661,                0.24917,                0.21011,                0.76418,                 3.6037,                      0,                0.45231,                 1.0274,               0.001307,               0.001307,               0.001307
                     38,                0.75145,                 1.0409,                      0,                0.48389,                0.98341,                0.99538,                0.99576,                0.99288,                0.75948,                0.50404,                0.50424,                0.30357,                0.17845,                0.86313,                 3.6717,                      0,                0.48026,                 1.1012,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.7798,                 1.1425,                      0,                0.50222,                0.98812,                0.99487,                0.99576,                0.99398,                0.79021,                0.59266,                0.59322,                0.40538,                0.17067,                 0.8019,                 3.9516,                      0,                0.46492,                 1.0999,              0.0012674,              0.0012674,              0.0012674
                     40,                0.74625,                0.98731,                      0,                0.48238,                0.99486,                0.98739,                0.99537,                0.99364,                0.68881,                0.51869,                0.52119,                0.33096,                0.13907,                 1.1156,                 4.3953,                      0,                0.54016,                 1.2894,              0.0012476,              0.0012476,              0.0012476
                     41,                0.77234,                0.89873,                      0,                0.50936,                 1.0084,                 0.9979,                      1,                  0.995,                0.82774,                0.53276,                 0.5339,                0.32619,                 0.2075,                0.71545,                 3.5909,                      0,                0.40931,                0.97502,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.7393,                0.97454,                      0,                0.46797,                0.99828,                0.95721,                0.85309,                0.91673,                0.60227,                0.53186,                0.48305,                0.30711,                0.13356,                 1.2853,                 4.2039,                      0,                0.64825,                 1.4409,               0.001208,               0.001208,               0.001208
                     43,                0.69714,                0.68939,                      0,                0.45082,                0.97726,                0.99905,                0.99576,                  0.995,                0.78672,                 0.4676,                0.46892,                0.28476,                0.21621,                0.82587,                 3.7506,                      0,                0.43835,                 1.1109,              0.0011882,              0.0011882,              0.0011882
                     44,                0.69943,                0.91305,                      0,                0.44673,                0.97621,                0.83791,                0.83236,                0.87112,                0.52974,                0.44177,                0.37288,                0.25603,                 0.1603,                 1.6241,                 4.5906,                      0,                0.81875,                 2.0291,              0.0011684,              0.0011684,              0.0011684
                     45,                0.68723,                0.90226,                      0,                0.44596,                0.96676,                0.99123,                0.99153,                0.99307,                0.81029,                0.52956,                0.52966,                0.38372,                0.28391,                0.80386,                 3.4873,                      0,                0.43089,                 1.0555,              0.0011486,              0.0011486,              0.0011486
                     46,                0.71055,                0.91963,                      0,                0.45519,                  0.976,                0.99145,                0.99153,                0.99063,                0.80154,                0.61422,                0.61441,                0.42532,                0.18806,                0.74194,                 3.8765,                      0,                 0.4203,                 1.0046,              0.0011288,              0.0011288,              0.0011288
                     47,                0.72081,                0.90004,                      0,                0.45146,                0.99034,                0.98684,                0.98305,                0.99013,                0.77471,                0.56541,                0.56356,                0.36548,                0.13908,                0.82592,                  4.113,                      0,                 0.4571,                 1.0806,               0.001109,               0.001109,               0.001109
                     48,                0.74504,                0.87963,                      0,                0.47601,                0.97918,                0.99157,                 0.9969,                0.99355,                0.75507,                0.51689,                0.51271,                 0.3121,                0.19545,                0.93976,                 3.7102,                      0,                0.44265,                 1.1608,              0.0010892,              0.0010892,              0.0010892
                     49,                0.68394,                0.84003,                      0,                0.44577,                0.97065,                0.98266,                0.98305,                 0.9834,                0.76323,                0.55064,                0.55085,                0.41685,                0.20613,                0.86665,                 4.0204,                      0,                0.44011,                 1.0667,              0.0010694,              0.0010694,              0.0010694
                     50,                0.67216,                0.77696,                      0,                0.43717,                0.96661,                0.99007,                0.99153,                0.99375,                0.77147,                 0.6252,                0.62712,                0.47247,                 0.2043,                0.81722,                 4.0138,                      0,                 0.4401,                 1.0525,              0.0010496,              0.0010496,              0.0010496
                     51,                0.67261,                0.77504,                      0,                 0.4489,                0.96457,                0.99736,                      1,                  0.995,                0.79965,                0.51951,                0.52119,                0.31671,                0.23894,                0.77828,                 3.5392,                      0,                0.40915,                 1.0572,              0.0010298,              0.0010298,              0.0010298
                     52,                0.71039,                0.77124,                      0,                0.46364,                0.96938,                0.99955,                      1,                  0.995,                0.79935,                0.62684,                0.62712,                0.46494,                 0.1894,                 0.8032,                 3.8299,                      0,                0.41364,                 1.0242,                0.00101,                0.00101,                0.00101
                     53,                0.69042,                0.74074,                      0,                0.43856,                0.96374,                 0.9952,                0.99576,                0.99458,                0.75807,                0.84272,                0.84322,                0.76599,                 0.2553,                0.87856,                 3.7183,                      0,                0.45824,                   1.12,              0.0009902,              0.0009902,              0.0009902
                     54,                0.72854,                0.78732,                      0,                0.46209,                0.97925,                0.99972,                      1,                  0.995,                0.78305,                0.83027,                0.83051,                0.77507,                0.32438,                0.89275,                 3.3872,                      0,                0.41855,                 1.0695,              0.0009704,              0.0009704,              0.0009704
                     55,                0.69868,                0.72518,                      0,                0.44338,                0.98188,                0.99089,                0.99153,                0.99345,                0.78132,                0.76694,                0.76695,                0.64289,                0.28953,                0.86402,                 3.2452,                      0,                0.42794,                 1.0509,              0.0009506,              0.0009506,              0.0009506
                     56,                0.73742,                0.67342,                      0,                0.46168,                0.99612,                0.98708,                0.99153,                0.99409,                0.75967,                0.74169,                0.74576,                0.62241,                0.27774,                0.93572,                 3.5909,                      0,                0.45174,                 1.0852,              0.0009308,              0.0009308,              0.0009308
